age,education-num,relationship,occupation,capital-gain,capital-loss,hours-per-week,income
Middle-aged,High,Not-in-family,Adm-clerical,Has Gain,No Loss,Overtime,0
Middle-aged,High,Husband,Exec-managerial,No Gain,No Loss,Part-time,0
Middle-aged,Medium,Not-in-family,Handlers-cleaners,No Gain,No Loss,Overtime,0
Middle-aged,Low,Husband,Handlers-cleaners,No Gain,No Loss,Overtime,0
Young,High,Wife,Prof-specialty,No Gain,No Loss,Overtime,0
Middle-aged,High,Wife,Exec-managerial,No Gain,No Loss,Overtime,0
Middle-aged,Low,Not-in-family,Other-service,No Gain,No Loss,Part-time,0
Middle-aged,Medium,Husband,Exec-managerial,No Gain,No Loss,Overtime,1
Young,High,Not-in-family,Prof-specialty,Has Gain,No Loss,Overtime,1
Middle-aged,High,Husband,Exec-managerial,Has Gain,No Loss,Overtime,1
Middle-aged,Medium,Husband,Exec-managerial,No Gain,No Loss,Overtime,1
Young,High,Husband,Prof-specialty,No Gain,No Loss,Overtime,1
Young,High,Own-child,Adm-clerical,No Gain,No Loss,Full-time,0
Young,High,Not-in-family,Sales,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Husband,Craft-repair,No Gain,No Loss,Overtime,1
Young,Low,Husband,Transport-moving,No Gain,No Loss,Overtime,0
Young,Medium,Own-child,Farming-fishing,No Gain,No Loss,Full-time,0
Young,Medium,Unmarried,Machine-op-inspct,No Gain,No Loss,Overtime,0
Middle-aged,Low,Husband,Sales,No Gain,No Loss,Overtime,0
Middle-aged,High,Unmarried,Exec-managerial,No Gain,No Loss,Overtime,1
Middle-aged,High,Husband,Prof-specialty,No Gain,No Loss,Overtime,1
Middle-aged,Medium,Unmarried,Other-service,No Gain,No Loss,Part-time,0
Young,Low,Husband,Farming-fishing,No Gain,No Loss,Overtime,0
Middle-aged,Low,Husband,Transport-moving,No Gain,Has Loss,Overtime,0
Senior,Medium,Unmarried,Tech-support,No Gain,No Loss,Overtime,0
Senior,High,Husband,Tech-support,No Gain,No Loss,Overtime,1
Young,Medium,Own-child,Craft-repair,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Husband,Prof-specialty,No Gain,No Loss,Overtime,1
Middle-aged,Medium,Not-in-family,Exec-managerial,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Husband,Craft-repair,No Gain,No Loss,Overtime,0
Young,High,Not-in-family,Protective-serv,No Gain,No Loss,Overtime,0
Young,Medium,Own-child,Sales,No Gain,No Loss,Overtime,0
Middle-aged,High,Own-child,Exec-managerial,No Gain,Has Loss,Overtime,0
Young,Medium,Own-child,Adm-clerical,No Gain,No Loss,Overtime,0
Young,Medium,Husband,Other-service,No Gain,No Loss,Part-time,0
Middle-aged,Low,Unmarried,Machine-op-inspct,No Gain,No Loss,Overtime,0
Young,Medium,Own-child,Machine-op-inspct,No Gain,No Loss,Overtime,0
Young,Medium,Wife,Adm-clerical,No Gain,No Loss,Full-time,0
Young,Medium,Husband,Sales,No Gain,No Loss,Full-time,1
Middle-aged,High,Husband,Prof-specialty,No Gain,No Loss,Overtime,0
Young,Low,Husband,Machine-op-inspct,No Gain,No Loss,Overtime,0
Middle-aged,High,Husband,Prof-specialty,No Gain,No Loss,Overtime,0
Young,High,Husband,Tech-support,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Unmarried,Adm-clerical,No Gain,No Loss,Overtime,0
Young,Medium,Not-in-family,Handlers-cleaners,No Gain,No Loss,Full-time,0
Senior,High,Husband,Prof-specialty,No Gain,No Loss,Overtime,1
Middle-aged,Medium,Husband,Machine-op-inspct,No Gain,No Loss,Full-time,0
Middle-aged,High,Unmarried,Exec-managerial,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Husband,Craft-repair,No Gain,No Loss,Overtime,0
Young,Medium,Not-in-family,Prof-specialty,No Gain,No Loss,Overtime,0
Young,Medium,Wife,Exec-managerial,No Gain,No Loss,Overtime,0
Young,Medium,Own-child,Other-service,No Gain,No Loss,Full-time,0
Middle-aged,High,Wife,Prof-specialty,No Gain,Has Loss,Overtime,1
Middle-aged,High,Not-in-family,Exec-managerial,No Gain,No Loss,Overtime,1
Middle-aged,Medium,Not-in-family,Exec-managerial,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Husband,Tech-support,No Gain,No Loss,Overtime,1
Middle-aged,Low,Husband,Machine-op-inspct,No Gain,No Loss,Overtime,0
Young,Medium,Husband,Other-service,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Husband,Adm-clerical,No Gain,No Loss,Overtime,0
Young,Medium,Husband,Machine-op-inspct,Has Gain,No Loss,Overtime,0
Young,High,Husband,Sales,Has Gain,No Loss,Overtime,0
Young,Low,Not-in-family,Prof-specialty,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Husband,Transport-moving,No Gain,No Loss,Overtime,0
Middle-aged,High,Husband,Prof-specialty,No Gain,No Loss,Overtime,1
Young,Medium,Not-in-family,Tech-support,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Husband,Craft-repair,No Gain,No Loss,Overtime,0
Young,Medium,Not-in-family,Adm-clerical,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Wife,Adm-clerical,No Gain,No Loss,Overtime,1
Middle-aged,Medium,Husband,Exec-managerial,No Gain,No Loss,Overtime,1
Young,Medium,Own-child,Prof-specialty,No Gain,No Loss,Overtime,0
Young,Medium,Own-child,Prof-specialty,No Gain,No Loss,Full-time,0
Young,High,Own-child,Sales,No Gain,No Loss,Overtime,0
Young,High,Husband,Sales,No Gain,No Loss,Overtime,1
Young,Medium,Not-in-family,Machine-op-inspct,No Gain,No Loss,Overtime,0
Senior,Medium,Other-relative,Prof-specialty,No Gain,No Loss,Part-time,0
Young,Medium,Own-child,Other-service,No Gain,No Loss,Overtime,0
Middle-aged,High,Husband,Adm-clerical,No Gain,No Loss,Overtime,0
Senior,Low,Husband,Prof-specialty,No Gain,No Loss,Part-time,0
Young,Low,Own-child,Other-service,No Gain,No Loss,Full-time,0
Young,Low,Husband,Farming-fishing,No Gain,No Loss,Overtime,0
Young,Medium,Not-in-family,Sales,No Gain,No Loss,Full-time,0
Middle-aged,High,Husband,Other-service,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Wife,Other-service,No Gain,No Loss,Overtime,0
Senior,Medium,Husband,Sales,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Not-in-family,Craft-repair,Has Gain,No Loss,Overtime,1
Middle-aged,Medium,Own-child,Sales,No Gain,No Loss,Full-time,0
Middle-aged,Medium,Husband,Protective-serv,No Gain,No Loss,Overtime,1
Young,High,Husband,Prof-specialty,No Gain,No Loss,Overtime,0
Young,Low,Not-in-family,Sales,No Gain,No Loss,Overtime,0
Middle-aged,High,Not-in-family,Prof-specialty,No Gain,No Loss,Overtime,1
Senior,Medium,Husband,Prof-specialty,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Unmarried,Craft-repair,No Gain,No Loss,Overtime,0
Young,Medium,Unmarried,Machine-op-inspct,No Gain,No Loss,Full-time,0
Young,Medium,Wife,Sales,No Gain,Has Loss,Full-time,0
Young,High,Husband,Protective-serv,No Gain,No Loss,Overtime,1
Young,Medium,Not-in-family,Handlers-cleaners,No Gain,No Loss,Overtime,0
Middle-aged,High,Husband,Prof-specialty,No Gain,Has Loss,Overtime,1
Middle-aged,Medium,Husband,Sales,No Gain,No Loss,Overtime,1
Middle-aged,High,Unmarried,Exec-managerial,No Gain,No Loss,Overtime,0
Young,Medium,Own-child,Other-service,No Gain,No Loss,Overtime,0
Senior,High,Husband,Exec-managerial,No Gain,No Loss,Overtime,1
Middle-aged,High,Husband,Exec-managerial,Has Gain,No Loss,Overtime,1
Middle-aged,High,Not-in-family,Prof-specialty,No Gain,No Loss,Overtime,0
Young,Medium,Own-child,Tech-support,No Gain,No Loss,Overtime,0
Young,Medium,Not-in-family,Craft-repair,No Gain,No Loss,Overtime,0
Young,Medium,Husband,Craft-repair,Has Gain,No Loss,Overtime,1
Young,Low,Own-child,Prof-specialty,Has Gain,No Loss,Full-time,0
Young,Low,Own-child,Handlers-cleaners,No Gain,No Loss,Overtime,0
Young,Medium,Not-in-family,Adm-clerical,No Gain,No Loss,Overtime,0
Middle-aged,Medium,Husband,Handlers-cleaners,No Gain,No Loss,Overtime,0
Young,High,Other-relative,Sales,No Gain,No Loss,Overtime,0
Middle-aged,High,Husband,Prof-specialty,No Gain,No Loss,Overtime,1
Senior,Medium,Husband,Other-service,No Gain,Has Loss,Overtime,1
Young,Medium,Wife,Sales,Has Gain,No Loss,Full-time,0
Middle-aged,Medium,Own-child,Machine-op-inspct,No Gain,No Loss,Overtime,0
